id,scrimId,event_type,match_time,round_number,capturing_team,team_1_score,team_2_score,objective_index,control_team_1_progress,control_team_2_progress,match_time_remaining,MapDataId
144,29,round_end,577.94,2,T_8c03018b,2,0,0,100,69.71,0,65
145,29,round_end,813.14,3,T_8c03018b,3,0,1,100,46.08,0,65
146,38,round_end,215.26,1,T_8c03018b,1,0,2,100,32.83,0,66
147,38,round_end,508.84,2,T_8c03018b,1,1,0,99.99,100,0,66
148,38,round_end,707.48,3,T_8c03018b,2,1,1,100,29.05,0,66
149,38,round_end,707.48,3,T_8c03018b,2,1,1,100,29.05,0,66
160,40,round_end,652.78,1,T_a02bf5e9,0,0,0,0,0,0,72
161,40,round_end,169.63,1,T_8c03018b,0,1,1,0,100,0,73
162,40,round_end,396.68,2,T_8c03018b,1,1,2,100,32.31,0,73
163,40,round_end,552.92,3,T_8c03018b,2,1,0,100,0,0,73
164,40,round_end,676.98,1,T_a02bf5e9,0,0,0,0,0,0,74
172,29,round_end,513.59,1,T_a02bf5e9,0,3,3,0,0,0,82
173,29,round_end,1021.56,2,T_5568bd9d,3,3,3,0,0,0,82
174,43,round_end,260.88,1,T_8c03018b,0,1,2,83.49,100,0,83
175,43,round_end,563.95,2,T_8c03018b,1,1,1,100,99.99,0,83
176,43,round_end,806.83,3,T_8c03018b,1,2,0,36.41,100,0,83
177,43,round_end,806.83,3,T_8c03018b,1,2,0,36.41,100,0,83
178,43,round_end,504.88,1,T_a02bf5e9,0,3,3,0,0,0,84
179,43,round_end,931.92,2,T_5568bd9d,3,3,3,0,0,52.74,84
205,45,round_end,229.23,1,T_8c03018b,1,0,2,100,33.69,0,97
206,45,round_end,548,2,T_8c03018b,1,1,1,99.99,100,0,97
207,45,round_end,744.01,3,T_8c03018b,2,1,0,100,14.77,0,97
208,45,round_end,744.01,3,T_8c03018b,2,1,0,100,14.77,0,97
209,45,round_end,240.04,1,T_a02bf5e9,0,0,0,0,0,0,98
210,45,round_end,464.75,2,T_5568bd9d,3,3,3,0,0,255.5,98
211,45,round_end,464.75,2,T_5568bd9d,3,3,3,0,0,255.5,98
212,45,round_end,753.26,5,T_a02bf5e9,5,0,3,100,0,0,99
213,45,round_end,396.27,1,T_a02bf5e9,0,1,1,0,0,0,100
214,45,round_end,798.58,2,T_5568bd9d,3,3,3,0,0,77.59,100
215,45,round_end,798.58,2,T_5568bd9d,3,3,3,0,0,77.59,100
230,47,round_end,781.2,6,T_a02bf5e9,2,3,2,0,0,40,108
231,29,round_end,240.49,1,T_8c03018b,1,0,1,100,51.71,0,109
232,29,round_end,462.6,2,T_8c03018b,2,0,2,100,45.63,0,109
233,29,round_end,656.87,3,T_8c03018b,3,0,0,100,32.19,0,109
246,53,round_end,490.75,1,T_bbd123ed,0,2,2,0,0,0,128
247,53,round_end,927.28,2,T_9b28cc4d,3,3,3,0,0,43.24,128
248,53,round_end,927.28,2,T_9b28cc4d,3,3,3,0,0,43.24,128
252,53,round_end,338.35,1,T_8c03018b,0,1,0,99.99,100,0,130
253,53,round_end,639.16,2,T_8c03018b,0,2,1,99.99,100,0,130
254,53,round_end,799.84,3,T_8c03018b,0,3,2,0,100,0,130
255,53,round_end,822.79,6,T_01a3328b,4,1,4,0,0,40,131
275,57,round_end,280.65,1,T_8c03018b,1,0,1,100,97.91,0,139
276,57,round_end,465.16,2,T_8c03018b,2,0,2,100,17.17,0,139
277,57,round_end,624.55,3,T_8c03018b,3,0,0,100,0,0,139
278,57,round_end,245.05,1,T_a02bf5e9,0,0,0,0,0,0,140
279,57,round_end,508.88,2,T_5568bd9d,0,3,0,0,0,0,140
280,57,round_end,820.52,5,T_a02bf5e9,5,0,1,100,0,0,141
281,57,round_end,240.04,1,T_a02bf5e9,0,0,0,0,0,0,143
282,57,round_end,684.76,2,T_5568bd9d,3,3,3,0,0,35.22,143
283,57,round_end,684.76,2,T_5568bd9d,3,3,3,0,0,35.22,143
284,57,round_end,454.58,1,T_a02bf5e9,0,0,0,0,0,145.62,
285,57,round_end,163.59,1,T_8c03018b,1,0,1,100,0,0,
286,58,round_end,240.49,1,T_8c03018b,1,0,1,100,51.71,0,
287,58,round_end,462.6,2,T_8c03018b,2,0,2,100,45.63,0,
288,58,round_end,656.87,3,T_8c03018b,3,0,0,100,32.19,0,
289,58,round_end,262.49,1,T_a02bf5e9,0,0,0,0,0,0,
290,58,round_end,577.34,2,T_5568bd9d,3,3,3,0,0,165.32,
291,58,round_end,577.34,2,T_5568bd9d,3,3,3,0,0,165.32,
292,58,round_end,798.39,6,T_a02bf5e9,2,3,2,0,0,40,
293,58,round_end,497.14,1,T_a02bf5e9,0,2,2,0,0,0,
294,58,round_end,940.23,2,T_5568bd9d,3,3,3,0,0,36.68,
295,58,round_end,940.23,2,T_5568bd9d,3,3,3,0,0,36.68,
296,58,round_end,417.66,1,T_a02bf5e9,0,0,0,0,0,182.52,152
297,58,round_end,215.26,1,T_8c03018b,1,0,1,100,36.75,0,153
298,58,round_end,555.96,2,T_8c03018b,1,1,2,99.99,100,0,153
299,58,round_end,713.41,3,T_8c03018b,2,1,0,100,0,0,153
300,58,round_end,713.41,3,T_8c03018b,2,1,0,100,0,0,153
301,59,round_end,222.72,1,T_8c03018b,1,0,2,100,34.77,0,154
302,59,round_end,523.59,2,T_8c03018b,1,1,0,99.99,100,0,154
303,59,round_end,866.44,3,T_8c03018b,2,1,1,100,99.99,0,154
304,59,round_end,490.23,1,T_a02bf5e9,0,2,2,0,0,0,155
305,59,round_end,999.34,2,T_5568bd9d,3,3,3,0,0,0,155
306,59,round_end,999.34,2,T_5568bd9d,3,3,3,0,0,0,155
307,59,round_end,633.98,6,T_a02bf5e9,4,1,1,0,0,40,156
308,59,round_end,500.96,1,T_a02bf5e9,0,2,2,0,0,0,157
309,59,round_end,991.26,2,T_5568bd9d,2,3,2,0,0,0,157
310,59,round_end,605.22,1,T_a02bf5e9,0,0,0,0,0,0,158
311,59,round_end,310.4,1,T_8c03018b,1,0,2,100,96.71,0,159
312,59,round_end,636.55,2,T_8c03018b,1,1,0,99.99,100,0,159
313,59,round_end,851.02,3,T_8c03018b,2,1,1,100,0,0,159
314,59,round_end,851.02,3,T_8c03018b,2,1,1,100,0,0,159
315,60,round_end,259.96,1,T_8c03018b,0,1,2,62.52,100,0,160
316,60,round_end,437.51,2,T_8c03018b,1,1,1,100,0,0,160
317,60,round_end,652,3,T_8c03018b,1,2,0,0,100,0,160
318,60,round_end,652,3,T_8c03018b,1,2,0,0,100,0,160
319,60,round_end,435.18,1,T_a02bf5e9,0,3,3,0,0,44.97,161
320,60,round_end,841.3,2,T_5568bd9d,1,3,1,0,0,0,161
321,60,round_end,832.56,6,T_a02bf5e9,4,1,3,0,0,40,162
322,60,round_end,528.3,1,T_a02bf5e9,0,2,2,0,0,0,163
323,60,round_end,1025.13,2,T_5568bd9d,3,3,3,0,0,0,163
324,60,round_end,1025.13,2,T_5568bd9d,3,3,3,0,0,0,163
325,60,round_end,315.23,1,T_8c03018b,0,1,0,99.99,100,0,165
326,60,round_end,663.48,2,T_8c03018b,0,2,1,99.99,100,0,165
327,60,round_end,927.85,3,T_8c03018b,1,2,2,100,54.35,0,165
328,60,round_end,927.85,3,T_8c03018b,1,2,2,100,54.35,0,165
329,60,round_end,613.51,1,T_a02bf5e9,0,0,0,0,0,0,166
330,61,round_end,208.36,1,T_8c03018b,1,0,1,100,14.57,0,167
331,61,round_end,388.27,2,T_8c03018b,2,0,0,100,0,0,167
332,61,round_end,585.12,3,T_8c03018b,3,0,2,100,19.03,0,167
333,61,round_end,425.92,1,T_a02bf5e9,0,3,3,0,0,54.25,168
334,61,round_end,924.28,2,T_5568bd9d,2,3,2,0,0,0,168
335,61,round_end,766.6,5,T_a02bf5e9,5,0,2,100,0,0,169
336,61,round_end,499.72,1,T_a02bf5e9,0,2,2,0,0,0,170
337,61,round_end,933.39,2,T_5568bd9d,3,3,3,0,0,46.11,170
338,61,round_end,933.39,2,T_5568bd9d,3,3,3,0,0,46.11,170
339,61,round_end,650.79,1,T_a02bf5e9,0,0,0,0,0,0,171
340,61,round_end,192.07,1,T_8c03018b,1,0,0,100,0,0,172
341,61,round_end,373.91,2,T_8c03018b,1,1,1,0,100,0,172
342,61,round_end,688.39,3,T_8c03018b,2,1,2,100,99.99,0,172
343,61,round_end,688.39,3,T_8c03018b,2,1,2,100,99.99,0,172
344,34,round_end,536.79,1,T_a02bf5e9,0,2,2,0,0,0,173
345,34,round_end,956.57,2,T_5568bd9d,3,3,3,0,0,59.98,173
346,34,round_end,956.57,2,T_5568bd9d,3,3,3,0,0,59.98,173
347,62,round_end,237.29,1,T_8c03018b,0,1,1,59.41,100,0,174
348,62,round_end,555.12,2,T_8c03018b,0,2,0,90.93,100,0,174
349,62,round_end,805.3,3,T_8c03018b,0,3,2,48.57,100,0,174
350,62,round_end,491.92,1,T_a02bf5e9,0,2,2,0,0,0,175
351,62,round_end,1041.44,2,T_5568bd9d,3,3,3,0,0,17.71,175
352,62,round_end,1041.44,2,T_5568bd9d,3,3,3,0,0,17.71,175
353,62,round_end,931.8,6,T_a02bf5e9,3,2,2,0,0,40,176
354,62,round_end,487.67,1,T_a02bf5e9,0,3,3,0,0,0,177
355,62,round_end,973.96,2,T_5568bd9d,2,3,2,0,0,0,177
356,62,round_end,600.18,1,T_a02bf5e9,0,0,0,0,0,0,178
357,62,round_end,489.97,1,T_a02bf5e9,0,2,2,0,0,0,179
358,62,round_end,978.23,2,T_5568bd9d,3,3,3,0,0,0,179
359,62,round_end,978.23,2,T_5568bd9d,3,3,3,0,0,0,179
369,64,round_end,283.4,1,T_8c03018b,0,1,1,99.99,100,0,185
370,64,round_end,544.01,2,T_8c03018b,0,2,0,68.77,100,0,185
371,64,round_end,699.99,3,T_8c03018b,0,3,2,0,100,0,185
372,64,round_end,509.33,1,T_a02bf5e9,0,2,2,0,0,0,186
373,64,round_end,938.42,2,T_5568bd9d,1,3,1,0,0,0,186
374,64,round_end,776.48,6,T_a02bf5e9,3,2,3,0,0,40,187
375,64,round_end,356.24,1,T_a02bf5e9,0,3,3,0,0,123.86,188
376,64,round_end,836.18,2,T_5568bd9d,2,3,2,0,0,0,188
377,64,round_end,671.73,1,T_a02bf5e9,0,0,0,0,0,0,189
378,34,round_end,301.48,1,T_a02bf5e9,0,0,0,0,0,298.57,191
392,67,round_end,1003.5,6,T_a02bf5e9,3,2,1,0,0,40,197
393,67,round_end,502.95,1,T_a02bf5e9,0,2,2,0,0,0,198
394,67,round_end,844.04,2,T_5568bd9d,3,3,3,0,0,138.73,198
395,67,round_end,844.04,2,T_5568bd9d,3,3,3,0,0,138.73,198
396,67,round_end,600.16,1,T_a02bf5e9,0,0,0,0,0,0,199
397,67,round_end,208.78,1,T_8c03018b,1,0,2,100,33.6,0,200
398,67,round_end,380.38,2,T_8c03018b,2,0,0,100,0,0,200
399,67,round_end,680.21,3,T_8c03018b,2,1,1,99.99,100,0,200
400,67,round_end,680.21,3,T_8c03018b,2,1,1,99.99,100,0,200
401,67,round_end,536.79,1,T_a02bf5e9,0,2,2,0,0,0,201
402,67,round_end,956.57,2,T_5568bd9d,3,3,3,0,0,59.98,201
403,67,round_end,956.57,2,T_5568bd9d,3,3,3,0,0,59.98,201
413,69,round_end,495.2,1,T_a02bf5e9,0,2,2,0,0,0,206
414,69,round_end,854.27,2,T_5568bd9d,3,3,3,0,0,120.74,206
415,69,round_end,854.27,2,T_5568bd9d,3,3,3,0,0,120.74,206
416,69,round_end,480.23,1,T_a02bf5e9,0,2,2,0,0,0,207
417,69,round_end,960,2,T_5568bd9d,2,3,2,0,0,0,207
418,69,round_end,824.3,6,T_a02bf5e9,1,4,3,0,0,40,208
419,69,round_end,717.81,1,T_a02bf5e9,0,0,0,0,0,0,209
420,69,round_end,273.72,1,T_8c03018b,1,0,0,100,89.09,0,210
421,69,round_end,601.13,2,T_8c03018b,2,0,2,100,99.99,0,210
422,69,round_end,877.79,3,T_8c03018b,3,0,1,100,52.11,0,210
423,70,round_end,476.42,1,T_a02bf5e9,0,3,3,0,0,3.78,211
424,70,round_end,888.93,2,T_5568bd9d,1,3,1,0,0,0,211
425,71,round_end,476.42,1,T_a02bf5e9,0,3,3,0,0,3.78,212
426,71,round_end,888.93,2,T_5568bd9d,1,3,1,0,0,0,212
427,72,round_end,615.08,1,T_a02bf5e9,0,0,0,0,0,0,213
432,74,round_end,268.34,1,T_a02bf5e9,0,3,3,0,0,211.72,216
433,74,round_end,676.75,2,T_5568bd9d,3,3,3,0,0,71.69,216
434,74,round_end,982.61,6,T_a02bf5e9,3,2,2,0,0,40,217
435,74,round_end,441.98,1,T_a02bf5e9,0,3,3,0,0,38.19,218
436,74,round_end,921.75,2,T_5568bd9d,2,3,2,0,0,0,218
437,74,round_end,629.16,1,T_a02bf5e9,0,0,0,0,0,0,219
438,75,round_end,245.48,1,T_8c03018b,0,1,2,52.36,100,0,220
439,75,round_end,554.58,2,T_8c03018b,0,2,1,97.58,100,0,220
440,75,round_end,838.69,3,T_8c03018b,0,3,0,99.99,100,0,220
441,75,round_end,390.14,1,T_a02bf5e9,0,1,1,0,0,0,221
442,75,round_end,728.16,2,T_5568bd9d,3,3,3,0,0,141.98,221
443,75,round_end,728.16,2,T_5568bd9d,3,3,3,0,0,141.98,221
444,75,round_end,829.62,6,T_a02bf5e9,1,4,3,0,0,40,222
445,75,round_end,395.63,1,T_a02bf5e9,0,1,1,0,0,0,225
446,75,round_end,766.04,2,T_5568bd9d,3,3,3,0,0,109.47,225
447,75,round_end,766.04,2,T_5568bd9d,3,3,3,0,0,109.47,225
448,75,round_end,625.04,1,T_a02bf5e9,0,0,0,0,0,0,226
449,75,round_end,281.85,1,T_8c03018b,0,1,1,78.13,100,0,227
450,75,round_end,510.86,2,T_8c03018b,0,2,2,42.43,100,0,227
451,75,round_end,753.13,3,T_8c03018b,0,3,0,51,100,0,227
452,80,round_end,441.87,1,T_29b01666,0,3,3,0,0,38.28,232
453,80,round_end,930.21,2,T_7f8fc438,1,3,1,0,0,0,232
454,80,round_end,998.92,6,T_29b01666,4,1,4,0,0,40,233
458,80,round_end,665.47,1,T_29b01666,0,0,0,0,0,0,235
459,80,round_end,405.67,1,T_29b01666,0,3,3,0,0,74.47,236
460,80,round_end,680.17,2,T_7f8fc438,0,3,0,0,0,0,236
461,80,round_end,311.71,1,T_8c03018b,0,1,0,99.99,100,0,237
462,80,round_end,615.03,2,T_8c03018b,0,2,2,97.67,100,0,237
463,80,round_end,960.04,3,T_8c03018b,0,3,1,99.99,100,0,237
464,85,round_end,714.23,6,T_a02bf5e9,3,2,3,0,0,40,252
466,34,round_end,395.63,1,T_a02bf5e9,0,1,1,0,0,0,254
467,34,round_end,766.04,2,T_5568bd9d,3,3,3,0,0,109.47,254
468,34,round_end,766.04,2,T_5568bd9d,3,3,3,0,0,109.47,254
469,34,round_end,395.63,1,T_a02bf5e9,0,1,1,0,0,0,255
470,34,round_end,766.04,2,T_5568bd9d,3,3,3,0,0,109.47,255
471,34,round_end,766.04,2,T_5568bd9d,3,3,3,0,0,109.47,255
472,34,round_end,395.63,1,T_a02bf5e9,0,1,1,0,0,0,256
473,34,round_end,766.04,2,T_5568bd9d,3,3,3,0,0,109.47,256
474,34,round_end,766.04,2,T_5568bd9d,3,3,3,0,0,109.47,256
475,34,round_end,390.14,1,T_a02bf5e9,0,1,1,0,0,0,257
476,34,round_end,728.16,2,T_5568bd9d,3,3,3,0,0,141.98,257
477,34,round_end,728.16,2,T_5568bd9d,3,3,3,0,0,141.98,257
478,34,round_end,310.31,1,T_a02bf5e9,0,0,0,0,0,0,258
479,34,round_end,651.5,2,T_5568bd9d,3,3,3,0,0,138.92,258
480,34,round_end,651.5,2,T_5568bd9d,3,3,3,0,0,138.92,258
481,87,round_end,307.36,1,T_8c03018b,0,1,2,99.99,100,0,259
482,87,round_end,500.32,2,T_8c03018b,0,2,0,24.27,100,0,259
483,87,round_end,732.05,3,T_8c03018b,0,3,1,45.96,100,0,259
484,87,round_end,377.57,1,T_a02bf5e9,0,3,3,0,0,102.58,260
485,87,round_end,637.57,2,T_5568bd9d,0,3,0,0,0,0,260
486,87,round_end,774.14,5,T_a02bf5e9,0,5,1,51.52,100,0,261
487,87,round_end,294.75,1,T_a02bf5e9,0,3,3,0,0,185.35,262
488,87,round_end,539.68,2,T_5568bd9d,0,3,0,0,0,0,262
489,87,round_end,688.6,1,T_a02bf5e9,0,0,0,0,0,0,263
490,87,round_end,157.45,1,T_8c03018b,0,1,0,0,100,0,264
491,87,round_end,436.93,2,T_8c03018b,1,1,2,100,94.34,0,264
492,87,round_end,685.58,3,T_8c03018b,1,2,1,73.92,100,0,264
493,87,round_end,685.58,3,T_8c03018b,1,2,1,73.92,100,0,264
494,87,round_end,350.32,1,T_a02bf5e9,0,3,3,0,0,129.8,265
495,87,round_end,613.2,2,T_5568bd9d,0,3,0,0,0,0,265
499,85,round_end,296.89,1,T_a02bf5e9,0,3,3,0,0,183.18,267
500,85,round_end,686.79,2,T_5568bd9d,1,3,1,0,0,0,267
501,85,round_end,714.23,6,T_a02bf5e9,3,2,3,0,0,40,268
505,91,round_end,225.91,1,T_8c03018b,0,1,1,38.75,100,0,272
506,91,round_end,584.91,2,T_8c03018b,0,2,2,99.99,100,0,272
507,91,round_end,902.24,3,T_8c03018b,1,2,0,100,99.99,0,272
508,91,round_end,902.24,3,T_8c03018b,1,2,0,100,99.99,0,272
509,91,round_end,511.48,1,T_a02bf5e9,0,2,2,0,0,0,273
510,91,round_end,906.22,2,T_5568bd9d,3,3,3,0,0,85.04,273
511,91,round_end,906.22,2,T_5568bd9d,3,3,3,0,0,85.04,273
512,91,round_end,802.5,6,T_a02bf5e9,3,2,1,0,0,40,274
513,91,round_end,275.84,1,T_a02bf5e9,0,3,3,0,0,204.23,275
514,91,round_end,567.3,2,T_5568bd9d,3,3,3,0,0,188.65,275
515,91,round_end,637.83,1,T_a02bf5e9,0,0,0,0,0,0,276
516,91,round_end,222.77,1,T_8c03018b,1,0,1,100,38.8,0,277
517,91,round_end,468.04,2,T_8c03018b,2,0,0,100,67.79,0,277
518,91,round_end,631.87,3,T_8c03018b,2,1,2,0,100,0,277
519,91,round_end,631.87,3,T_8c03018b,2,1,2,0,100,0,277
520,92,round_end,327.03,1,T_8c03018b,1,0,2,100,93.05,0,278
521,92,round_end,576.21,2,T_8c03018b,1,1,1,70.08,100,0,278
522,92,round_end,807.92,3,T_8c03018b,2,1,0,100,48.63,0,278
523,92,round_end,807.92,3,T_8c03018b,2,1,0,100,48.63,0,278
524,92,round_end,229.12,1,T_3454a3d6,0,3,3,0,0,250.92,279
525,92,round_end,469.06,2,T_7f8fc438,0,3,0,0,0,0,279
526,92,round_end,426.28,1,T_3454a3d6,0,1,1,0,0,0,280
527,92,round_end,844.45,2,T_7f8fc438,1,3,1,0,0,0,280
528,92,round_end,760.77,6,T_3454a3d6,3,2,3,0,0,40,281
530,93,round_end,225.91,1,T_8c03018b,0,1,1,38.75,100,0,283
531,93,round_end,584.91,2,T_8c03018b,0,2,2,99.99,100,0,283
532,93,round_end,902.24,3,T_8c03018b,1,2,0,100,99.99,0,283
533,93,round_end,902.24,3,T_8c03018b,1,2,0,100,99.99,0,283
534,93,round_end,511.48,1,T_a02bf5e9,0,2,2,0,0,0,284
535,93,round_end,906.22,2,T_5568bd9d,3,3,3,0,0,85.04,284
536,93,round_end,906.22,2,T_5568bd9d,3,3,3,0,0,85.04,284
537,93,round_end,802.5,6,T_a02bf5e9,3,2,1,0,0,40,285
538,93,round_end,275.84,1,T_a02bf5e9,0,3,3,0,0,204.23,286
539,93,round_end,567.3,2,T_5568bd9d,3,3,3,0,0,188.65,286
540,93,round_end,637.83,1,T_a02bf5e9,0,0,0,0,0,0,287
541,93,round_end,222.77,1,T_8c03018b,1,0,1,100,38.8,0,288
542,93,round_end,468.04,2,T_8c03018b,2,0,0,100,67.79,0,288
543,93,round_end,631.87,3,T_8c03018b,2,1,2,0,100,0,288
544,93,round_end,631.87,3,T_8c03018b,2,1,2,0,100,0,288
545,94,round_end,329.08,1,T_8c03018b,1,0,0,100,99.99,0,289
546,94,round_end,492.08,2,T_8c03018b,2,0,1,100,0,0,289
547,94,round_end,653.62,3,T_8c03018b,3,0,2,100,0,0,289
548,94,round_end,507.05,1,T_a02bf5e9,0,2,2,0,0,0,290
549,94,round_end,796.49,2,T_5568bd9d,3,3,3,0,0,190.4,290
550,94,round_end,796.49,2,T_5568bd9d,3,3,3,0,0,190.4,290
551,94,round_end,860.99,6,T_a02bf5e9,4,1,3,0,0,40,291
552,94,round_end,509.41,1,T_a02bf5e9,0,2,2,0,0,0,292
553,94,round_end,918.22,2,T_5568bd9d,3,3,3,0,0,70.97,292
554,94,round_end,918.22,2,T_5568bd9d,3,3,3,0,0,70.97,292
555,94,round_end,607.75,1,T_a02bf5e9,0,0,0,0,0,0,293
556,94,round_end,239.17,1,T_8c03018b,1,0,2,100,67.99,0,295
557,94,round_end,546.95,2,T_8c03018b,2,0,0,100,89.47,0,295
558,94,round_end,753.81,3,T_8c03018b,3,0,1,100,30.23,0,295
572,96,round_end,281.39,1,T_beaf8cb4,0,3,3,0,0,198.68,305
573,96,round_end,769.29,2,T_7f8fc438,2,3,2,0,0,0,305
574,96,round_end,644.02,1,T_beaf8cb4,0,0,0,0,0,0,306
575,96,round_end,477.83,1,T_beaf8cb4,0,3,3,0,0,2.41,307
576,96,round_end,717.7,2,T_7f8fc438,0,3,0,0,0,0,307
577,96,round_end,181.79,1,T_8c03018b,0,1,1,0,100,0,308
578,96,round_end,440.91,2,T_8c03018b,1,1,2,100,83.6,0,308
579,96,round_end,613.56,3,T_8c03018b,1,2,0,0,100,0,308
580,96,round_end,613.56,3,T_8c03018b,1,2,0,0,100,0,308
593,97,round_end,618.44,1,T_a02bf5e9,0,0,0,0,0,0,318
594,97,round_end,330.12,1,T_8c03018b,0,1,0,86.32,100,0,319
595,97,round_end,629.36,2,T_8c03018b,0,2,1,99.99,100,0,319
596,97,round_end,877.56,3,T_8c03018b,1,2,2,100,57.85,0,319
597,97,round_end,877.56,3,T_8c03018b,1,2,2,100,57.85,0,319
598,99,round_end,246.99,1,T_8c03018b,1,0,1,100,45.51,0,320
599,99,round_end,529.22,2,T_8c03018b,2,0,0,100,81.07,0,320
600,99,round_end,780.42,3,T_8c03018b,3,0,2,100,41.08,0,320
601,99,round_end,420.57,1,T_a02bf5e9,0,1,1,0,0,0,321
602,99,round_end,896.81,2,T_5568bd9d,3,3,3,0,0,3.52,321
603,99,round_end,896.81,2,T_5568bd9d,3,3,3,0,0,3.52,321
604,99,round_end,813.52,5,T_a02bf5e9,5,0,1,100,99.99,0,322
605,99,round_end,315.98,1,T_a02bf5e9,0,3,3,0,0,164.12,323
606,99,round_end,834.25,2,T_5568bd9d,2,3,2,0,0,0,323
607,99,round_end,600.2,1,T_a02bf5e9,0,0,0,0,0,0,324
608,99,round_end,222.9,1,T_8c03018b,0,1,1,37.37,100,0,325
609,99,round_end,547.78,2,T_8c03018b,0,2,2,99.99,100,0,325
610,99,round_end,785.22,3,T_8c03018b,1,2,0,100,62.48,0,325
611,99,round_end,785.22,3,T_8c03018b,1,2,0,100,62.48,0,325
612,100,round_end,627.81,1,T_a02bf5e9,0,0,0,0,0,0,326
613,100,round_end,240.04,1,T_a02bf5e9,0,0,0,0,0,0,327
614,100,round_end,617.91,2,T_5568bd9d,3,3,3,0,0,102.2,327
615,100,round_end,617.91,2,T_5568bd9d,3,3,3,0,0,102.2,327
616,100,round_end,258.37,1,T_8c03018b,1,0,2,100,66.97,0,328
617,100,round_end,474.09,2,T_8c03018b,2,0,0,100,41.49,0,328
618,100,round_end,751.77,3,T_8c03018b,3,0,1,100,76.75,0,328
619,100,round_end,223.68,1,T_8c03018b,1,0,2,100,40.33,0,329
620,100,round_end,391.31,2,T_8c03018b,2,0,1,100,0,0,329
621,100,round_end,608.88,3,T_8c03018b,3,0,0,100,35.8,0,329
622,100,round_end,717.21,6,T_a02bf5e9,4,1,0,0,0,39.99,330
623,100,round_end,480.25,1,T_a02bf5e9,0,2,2,0,0,0,331
624,100,round_end,1002.11,2,T_5568bd9d,3,3,3,0,0,0,331
625,100,round_end,1002.11,2,T_5568bd9d,3,3,3,0,0,0,331
